STATION,NAME,DATE,PRCP,TAVG
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",3/6/17,0,38
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",3/7/17,0.75,37
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",3/8/17,0.13,41
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",3/9/17,0.7,39
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",3/10/17,0.03,48
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",3/11/17,0.37,45
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",3/12/17,0.02,48
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",3/13/17,0.65,50
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",3/14/17,0.39,52
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",3/15/17,0.81,50
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",3/16/17,0,45
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",3/17/17,0.68,43
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",3/18/17,0.34,48
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",3/19/17,0,42
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",3/20/17,0.01,45
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",3/21/17,0.2,49
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",3/22/17,0.02,51
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",3/23/17,0.26,46
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",3/24/17,0.24,49
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",3/25/17,0.01,47
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",3/26/17,0.38,46
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",3/27/17,0.17,47
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",3/28/17,0.14,47
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",3/29/17,0.51,49
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",3/30/17,0,47
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",3/31/17,0,47
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",4/1/17,0.04,50
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",4/2/17,0.04,48
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",4/3/17,0,46
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",4/4/17,0.12,49
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",4/5/17,0.46,51
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",4/6/17,0.26,51
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",4/7/17,0.1,53
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",4/8/17,0.01,47
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",4/9/17,0,46
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",4/10/17,0.38,49
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",4/11/17,0.02,46
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",4/12/17,0.85,51
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",4/13/17,0.08,49
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",4/14/17,0.01,46
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",4/15/17,0,47
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",4/16/17,0,52
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",4/17/17,0.07,57
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",4/18/17,0.48,52
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",4/19/17,0.35,51
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",4/20/17,0.01,50
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",4/21/17,0,52
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",4/22/17,0.07,60
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",4/23/17,0.49,51
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",4/24/17,0.06,48
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",4/25/17,0.05,51
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",4/26/17,0,51
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",4/27/17,0.04,48
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",4/28/17,0,49
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",4/29/17,0.14,51
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",4/30/17,0.08,50
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",5/1/17,0.03,48
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",5/2/17,0.13,51
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",5/3/17,0.11,59
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",5/4/17,0.44,62
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",5/5/17,0.25,58
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",5/6/17,0.02,50
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",5/7/17,0,51
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",5/8/17,0,54
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",5/9/17,0,56
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",5/10/17,0,58
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",5/11/17,0.47,58
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",5/12/17,0.16,48
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",5/13/17,0.03,49
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",5/14/17,0.04,51
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",5/15/17,0.33,50
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",5/16/17,0.15,47
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",5/17/17,0,50
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",5/18/17,0,54
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",5/19/17,0,59
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",5/20/17,0,62
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",5/21/17,0,64
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",5/22/17,0,68
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",5/23/17,0,70
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",5/24/17,0,56
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",5/25/17,0,57
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",5/26/17,0,64
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",5/27/17,0,70
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",5/28/17,0,71
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",5/29/17,0,63
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",5/30/17,0.01,58
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",5/31/17,0.11,58
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",6/1/17,0.02,61
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",6/2/17,0,60
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",6/3/17,0,61
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",6/4/17,0,58
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",6/5/17,0,60
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",6/6/17,0,65
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",6/7/17,0.03,68
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",6/8/17,0.31,61
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",6/9/17,0.05,56
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",6/10/17,0,55
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",6/11/17,0,58
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",6/12/17,0,59
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",6/13/17,0,57
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",6/14/17,0,57
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",6/15/17,1.05,58
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",6/16/17,0,59
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",6/17/17,0.06,58
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",6/18/17,0,59
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",6/19/17,0,63
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",6/20/17,0,65
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",6/21/17,0,60
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",6/22/17,0,62
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",6/23/17,0,67
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",6/24/17,0,73
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",6/25/17,0,79
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",6/26/17,0,70
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",6/27/17,0,60
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",6/28/17,0,61
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",6/29/17,0,62
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",6/30/17,0,69
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",7/1/17,0,64
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",7/2/17,0,62
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",7/3/17,0,64
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",7/4/17,0,64
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",7/5/17,0,69
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",7/6/17,0,70
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",7/7/17,0,67
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",7/8/17,0,67
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",7/9/17,0,69
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",7/10/17,0,66
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",7/11/17,0,62
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",7/12/17,0,64
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",7/13/17,0,66
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",7/14/17,0,65
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",7/15/17,0,66
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",7/16/17,0,63
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",7/17/17,0,65
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",7/18/17,0,68
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",7/19/17,0,66
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",7/20/17,0,66
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",7/21/17,0,65
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",7/22/17,0,70
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",7/23/17,0,70
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",7/24/17,0,68
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",7/25/17,0,72
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",7/26/17,0,70
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",7/27/17,0,65
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",7/28/17,0,65
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",7/29/17,0,67
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",7/30/17,0,68
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",7/31/17,0,70
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",8/1/17,0,74
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",8/2/17,0,78
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",8/3/17,0,80
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",8/4/17,0,79
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",8/5/17,0,70
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",8/6/17,0,69
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",8/7/17,0,69
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",8/8/17,0,72
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",8/9/17,0,74
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",8/10/17,0,72
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",8/11/17,0,69
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",8/12/17,0.02,65
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",8/13/17,0,65
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",8/14/17,0,64
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",8/15/17,0,65
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",8/16/17,0,67
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",8/17/17,0,66
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",8/18/17,0,64
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",8/19/17,0,67
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",8/20/17,0,66
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",8/21/17,0,68
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",8/22/17,0,73
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",8/23/17,0,67
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",8/24/17,0,65
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",8/25/17,0,65
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",8/26/17,0,67
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",8/27/17,0,72
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",8/28/17,0,75
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",8/29/17,0,74
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",8/30/17,0,67
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",8/31/17,0,67
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",9/1/17,0,68
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",9/2/17,0,74
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",9/3/17,0,77
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",9/4/17,0,77
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",9/5/17,0,77
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",9/6/17,0,72
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",9/7/17,0,69
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",9/8/17,0,67
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",9/9/17,0,63
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",9/10/17,0,63
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",9/11/17,0,65
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",9/12/17,0,69
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",9/13/17,0,61
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",9/14/17,0,63
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",9/15/17,0,63
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",9/16/17,0,63
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",9/17/17,0.15,61
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",9/18/17,0.16,55
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",9/19/17,0.04,53
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",9/20/17,0.13,53
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",9/21/17,0.02,53
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",9/22/17,0,57
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",9/23/17,0,60
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",9/24/17,0,59
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",9/25/17,0.01,61
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",9/26/17,0,63
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",9/27/17,0,64
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",9/28/17,0,70
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",9/29/17,0.07,65
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",9/30/17,0.01,57
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",10/1/17,0,55
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",10/2/17,0,53
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",10/3/17,0,56
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",10/4/17,0,57
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",10/5/17,0,56
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",10/6/17,0.01,56
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",10/7/17,0.01,55
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",10/8/17,0.01,53
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",10/9/17,0,52
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",10/10/17,0,52
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",10/11/17,0.17,49
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",10/12/17,0.38,47
